num_depto,cant_dormitorios,cant_banos,piso,cant_personas,valor_dia,mantenimiento
201,2,1,3,4,45000,false
202,3,2,5,6,50000,true
203,1,1,2,2,40000,false
204,4,3,7,8,60000,true
205,2,2,4,5,47000,false
206,3,2,6,5,52000,true
207,2,1,2,4,44000,false
208,4,3,8,7,58000,true
209,1,1,1,3,42000,false
210,3,2,5,6,50000,true
211,2,1,3,4,45000,false
212,4,3,7,8,60000,true
213,1,1,2,2,40000,false
214,3,2,5,6,50000,true
215,2,2,4,5,47000,false
216,4,3,7,8,59000,true
217,2,1,3,4,45000,false
218,3,2,5,6,51000,true
219,1,1,2,2,41000,false
220,4,3,8,7,60000,true
221,2,2,4,5,46000,false
222,3,2,5,6,52000,true
223,1,1,2,2,40000,false
224,4,3,7,8,59000,true
225,2,1,3,4,45000,false
226,3,2,5,6,50000,true
227,1,1,2,2,41000,false
228,4,3,8,7,60000,true
229,2,2,4,5,47000,false
230,3,2,5,6,51000,true
231,1,1,2,2,42000,false
232,4,3,7,8,60000,true
233,2,1,3,4,45000,false
234,3,2,5,6,50000,true
235,1,1,2,2,40000,false
236,4,3,8,7,59000,true
237,2,2,4,5,47000,false
238,3,2,5,6,52000,true
239,1,1,2,2,41000,false
240,4,3,7,8,60000,true
241,2,1,3,4,45000,false
242,3,2,5,6,50000,true
243,1,1,2,2,40000,false
244,4,3,8,7,59000,true
245,2,2,4,5,46000,false
246,3,2,5,6,51000,true
247,1,1,2,2,42000,false
248,4,3,7,8,60000,true
249,2,1,3,4,45000,false
250,3,2,5,6,50000,true
251,1,1,2,3,42000,false
252,4,3,7,8,60000,true
253,2,2,4,5,46000,false
254,3,2,5,6,51000,true
255,1,1,2,2,40000,false
256,4,3,8,7,59000,true
257,2,1,3,4,45000,false
258,3,2,5,6,50000,true
259,1,1,2,2,41000,false
260,4,3,7,8,60000,true
261,2,2,4,5,47000,false
262,3,2,5,6,52000,true
263,1,1,2,2,42000,false
264,4,3,8,7,60000,true
265,2,1,3,4,45000,false
266,3,2,5,6,50000,true
267,1,1,2,2,40000,false
268,4,3,7,8,59000,true
269,2,2,4,5,46000,false
270,3,2,5,6,51000,true
271,1,1,2,2,42000,false
272,4,3,8,7,60000,true
273,2,1,3,4,45000,false
274,3,2,5,6,50000,true
275,1,1,2,2,41000,false
276,4,3,7,8,60000,true
277,2,2,4,5,47000,false
278,3,2,5,6,52000,true
279,1,1,2,2,42000,false
280,4,3,8,7,60000,true
281,2,1,3,4,45000,false
282,3,2,5,6,50000,true
283,1,1,2,2,40000,false
284,4,3,7,8,59000,true
285,2,2,4,5,46000,false
286,3,2,5,6,51000,true
287,1,1,2,2,42000,false
288,4,3,8,7,60000,true
289,2,1,3,4,45000,false
290,3,2,5,6,50000,true
291,1,1,2,2,40000,false
292,4,3,7,8,59000,true
293,2,2,4,5,47000,false
294,3,2,5,6,52000,true
295,1,1,2,2,42000,false
296,4,3,8,7,60000,true
297,2,1,3,4,45000,false
298,3,2,5,6,50000,true
299,1,1,2,2,41000,false
300,4,3,7,8,60000,true
